Name,Body,Year,Price,Transmission,Mileage,Volume,Customs Clearance,Color,задний,передний,полный
7,9,2020,5450000,0,40000.0,1.5,1,7,0,1,0
7,9,2020,6000000,0,10200.0,1.5,1,7,0,1,0
7,9,2020,5000000,2,80000.0,1.5,1,1,0,1,0
7,9,2020,5570000,0,64857.0,1.5,1,8,0,1,0
7,9,2020,5400000,0,40000.0,1.5,1,7,0,1,0
7,9,2020,5650000,2,23527.0,1.5,1,1,0,1,0
7,9,2020,4000000,2,85000.0,1.5,1,1,0,1,0
7,9,2020,6500000,0,16061.0,1.5,1,1,0,1,0
7,9,2020,6290000,0,63286.0,1.5,1,1,0,1,0
7,9,2020,5650000,2,23480.0,1.5,1,1,0,1,0
7,9,2020,5350000,0,64000.0,1.5,1,7,0,1,0
7,9,2020,5290000,2,93371.0,1.5,1,1,0,1,0
7,9,2020,6250000,0,50000.0,1.5,1,1,0,1,0
7,9,2020,5350000,2,40000.0,1.5,1,1,0,1,0
7,9,2020,5150000,0,96000.0,1.5,1,1,0,1,0
7,9,2020,5000000,2,52000.0,1.5,1,1,0,1,0
7,9,2020,5600000,2,56000.0,1.5,1,1,0,1,0
7,9,2020,5590000,0,76042.0,1.5,1,8,0,1,0
7,9,2020,5000000,2,53000.0,1.5,1,8,0,1,0
7,9,2020,6100000,0,26000.0,1.5,1,8,0,1,0
7,9,2020,5200000,2,57000.0,1.5,1,1,0,1,0
7,9,2020,5200000,2,78000.0,1.5,1,7,0,1,0
7,9,2020,6250000,0,24000.0,1.5,1,11,0,1,0
7,9,2020,4300000,2,31000.0,1.5,1,1,0,1,0
7,9,2020,5800000,0,85000.0,1.5,1,1,0,1,0
7,9,2020,6000000,0,31000.0,1.5,1,1,0,1,0
7,9,2020,6190000,0,49967.0,1.5,1,8,0,1,0
7,9,2020,5800000,0,70000.0,1.5,1,4,0,1,0
7,9,2020,5300000,2,18000.0,1.5,1,11,0,1,0
7,9,2020,5000000,2,45000.0,1.5,1,8,0,1,0
7,9,2020,6000000,0,47000.0,1.5,1,7,0,1,0
7,9,2020,5600000,0,43000.0,1.5,1,1,0,1,0
7,9,2020,5050000,2,50000.0,1.5,1,1,0,1,0
7,9,2020,5000000,2,80000.0,1.5,1,4,0,1,0
7,9,2020,1800000,2,66000.0,1.5,1,1,0,1,0
8,0,2014,4190000,2,198376.0,1.7,1,1,0,0,1
8,0,2017,4500000,2,115000.0,1.7,1,8,0,0,1
8,0,2013,4000000,2,70000.0,1.7,1,7,0,0,1
8,0,2011,4500000,2,113267.0,1.7,1,11,0,0,1
8,0,2018,5200000,2,69000.0,1.7,1,11,0,0,1
8,0,2013,4200000,2,115000.0,1.7,1,1,0,0,1
8,0,2008,3600000,0,20000.0,2.3,1,8,0,0,1
8,0,2014,3200000,2,230000.0,1.7,1,1,0,0,1
8,0,2013,3200000,2,125000.0,1.7,1,7,0,0,1
8,0,2013,3200000,2,242000.0,1.7,1,7,0,0,1
8,0,2007,4500000,2,90284.0,1.6,1,7,0,0,1
8,0,2014,3000000,2,180.0,1.7,1,8,0,0,1
8,0,2013,2800000,2,115000.0,1.7,0,9,0,0,1
8,0,2014,5700000,2,51000.0,1.7,1,7,0,0,1
8,0,2018,5700000,2,67000.0,1.7,1,9,0,0,1
8,0,2018,5200000,2,130000.0,1.7,1,7,0,0,1
8,0,2007,2370000,2,210000.0,1.7,1,7,0,0,1
8,0,2013,3500000,2,200000.0,1.7,1,7,0,0,1
8,0,2014,3500000,2,140000.0,1.7,1,7,0,0,1
8,0,2013,3500000,2,190000.0,1.7,1,9,0,0,1
8,0,2012,3200000,2,250000.0,1.7,1,8,0,0,1
8,0,2007,1300000,2,209000.0,1.7,1,8,0,0,1
8,0,2019,5900000,2,100000.0,1.7,1,7,0,0,1
8,0,2007,2500000,2,112000.0,1.7,1,0,0,0,1
8,0,2017,4650000,2,128000.0,1.7,1,7,0,0,1
8,0,2006,2000000,2,111222.0,1.7,1,11,0,0,1
8,0,2005,1000000,2,327000.0,1.7,1,9,0,0,1
8,0,2014,4000000,2,125000.0,1.7,1,11,0,0,1
8,0,2013,2800000,2,200.0,1.7,1,8,0,0,1
8,0,2007,2700000,2,400000.0,1.8,1,7,0,0,1
8,0,2014,3450000,2,125340.0,1.7,1,3,0,0,1
8,0,2016,4500000,2,110000.0,1.7,1,3,0,0,1
8,0,2015,4400000,2,109000.0,1.7,1,8,0,0,1
8,0,2012,2800000,2,240000.0,1.7,1,7,0,0,1
8,0,2013,2800000,2,260000.0,1.7,1,1,0,0,1
